OBJECTID,ID,District_Name,Year,Survey_Type,Vaccine,Metric,Value_Percent,Enrollment
1,9211,Academy 20,2017/2018,Kindergarten,,Summary Compliant,82.4,1665
2,9211,Academy 20,2017/2018,Kindergarten,DTaP,Fully Immunized,79.7,1665
3,9211,Academy 20,2017/2018,Kindergarten,DTaP,In Process,2.28,1665
4,9211,Academy 20,2017/2018,Kindergarten,DTaP,IncompleteRecordCount,10.87,1665
5,9211,Academy 20,2017/2018,Kindergarten,DTaP,Medical Exemption,0.06,1665
6,9211,Academy 20,2017/2018,Kindergarten,DTaP,Non-Medical Exemption,6.37,1665
7,9211,Academy 20,2017/2018,Kindergarten,HepB,Fully Immunized,87.09,1665
8,9211,Academy 20,2017/2018,Kindergarten,HepB,In Process,0.42,1665
9,9211,Academy 20,2017/2018,Kindergarten,HepB,IncompleteRecordCount,4.86,1665
10,9211,Academy 20,2017/2018,Kindergarten,HepB,Medical Exemption,0.12,1665
11,9211,Academy 20,2017/2018,Kindergarten,HepB,Non-Medical Exemption,6.73,1665
12,9211,Academy 20,2017/2018,Kindergarten,MMR,Fully Immunized,78.5,1665
13,9211,Academy 20,2017/2018,Kindergarten,MMR,In Process,1.8,1665
14,9211,Academy 20,2017/2018,Kindergarten,MMR,IncompleteRecordCount,12.07,1665
15,9211,Academy 20,2017/2018,Kindergarten,MMR,Medical Exemption,0.12,1665
16,9211,Academy 20,2017/2018,Kindergarten,MMR,Non-Medical Exemption,6.61,1665
17,9211,Academy 20,2017/2018,Kindergarten,Polio,Fully Immunized,78.26,1665
18,9211,Academy 20,2017/2018,Kindergarten,Polio,In Process,2.1,1665
19,9211,Academy 20,2017/2018,Kindergarten,Polio,IncompleteRecordCount,12.25,1665
20,9211,Academy 20,2017/2018,Kindergarten,Polio,Medical Exemption,0.12,1665
21,9211,Academy 20,2017/2018,Kindergarten,Polio,Non-Medical Exemption,6.43,1665
22,9211,Academy 20,2017/2018,Kindergarten,Varicella,Fully Immunized,77.96,1665
23,9211,Academy 20,2017/2018,Kindergarten,Varicella,In Process,1.68,1665
24,9211,Academy 20,2017/2018,Kindergarten,Varicella,IncompleteRecordCount,12.67,1665
25,9211,Academy 20,2017/2018,Kindergarten,Varicella,Medical Exemption,0.3,1665
26,9211,Academy 20,2017/2018,Kindergarten,Varicella,Non-Medical Exemption,6.43,1665
27,9211,Academy 20,2017/2018,School,,Summary Compliant,87.49,25590
28,9211,Academy 20,2017/2018,School,DTaP,Fully Immunized,92.06,25590
29,9211,Academy 20,2017/2018,School,DTaP,In Process,0.41,25590
30,9211,Academy 20,2017/2018,School,DTaP,IncompleteRecordCount,3.21,25590
31,9211,Academy 20,2017/2018,School,DTaP,Medical Exemption,0.06,25590
32,9211,Academy 20,2017/2018,School,DTaP,Non-Medical Exemption,3.68,25590
33,9211,Academy 20,2017/2018,School,HepB,Fully Immunized,91.63,25590
34,9211,Academy 20,2017/2018,School,HepB,In Process,0.36,25590
35,9211,Academy 20,2017/2018,School,HepB,IncompleteRecordCount,3.52,25590
36,9211,Academy 20,2017/2018,School,HepB,Medical Exemption,0.14,25590
37,9211,Academy 20,2017/2018,School,HepB,Non-Medical Exemption,3.86,25590
38,9211,Academy 20,2017/2018,School,MMR,Fully Immunized,91.38,25590
