School Name,School Type,Address,City,Zipcode,County,Polio,DTaP,MMR,HepB,Varicella,HepA,All,Ex_Rel,Ex_Med,Ex_Tot
Andover Elementary School,Public,35 School Rd,Andover,06232,Tolland,,,,,,,,,,
Assumption School,Non-public,51 North Cliff Street,Ansonia,06401,New Haven,,,,,,,,,,
Mead Elementary School,Public,75 Ford Street,Ansonia,06401,New Haven,98.8,98.8,98.8,98.8,98.8,98.8,98.8,1.3,0.0,1.3
Ashford School,Public,440 Westford Rd.,Ashford,06278,Windham,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Pine Grove School,Public,151 Scoville Rd.,Avon,06001,Hartford,100.0,100.0,100.0,98.4,99.2,100.0,97.6,0.0,0.0,0.0
Reggio Magnet School,Public,59 waterville road,Avon,06001,Hartford,100.0,100.0,98.4,100.0,100.0,100.0,98.4,0.0,0.0,0.0
Roaring Brook School,Public,30 Old Wheeler Lane,Avon,06001,Hartford,98.1,99.0,99.0,97.1,99.0,99.0,96.2,0.0,0.0,0.0
Talcott Mountain Academy,Non-public,324 Montevideo Road,Avon,06001,Hartford,,,,,,,,,,
Sayles School,Public,25 Scotland Rd.,Baltic,06330,New London,,,,,,,,,,
St. Joseph School,Non-public,10 School Hill Road,Baltic,06330,New London,,,,,,,,,,
Barkhamsted School,Public,65 Ripley Hill Road,Barkhamsted,06063,Litchfield,,,,,,,,,,
Laurel Ledge Elementary,Public,30 Highland Ave,Beacon Falls,06403,New Haven,96.0,94.0,90.0,96.0,92.0,96.0,90.0,0.0,4.0,4.0
Emma Hart Willard School,Public,1088 Norton Road,Berlin,06037,Hartford,98.3,96.6,100.0,100.0,98.3,100.0,94.8,0.0,0.0,0.0
Saint Paul,Non-public,461 Alling Street,Berlin,06037,Hartford,,,,,,,,,,
Bethany Community School,Public,44 Peck Road,Bethany,06524,New Haven,91.1,91.1,92.9,94.6,92.9,92.9,91.1,0.0,0.0,0.0
Anna H Rockwell Elem,Public,400 Whittlesey Drive,Bethel,06801,Fairfield,99.1,100.0,99.1,99.1,99.1,99.1,99.1,0.0,0.0,0.0
Frank A Berry Elementary,Public,200 Whittelsey Drive,Bethel,06801,Fairfield,98.2,97.3,98.2,98.2,98.2,98.2,97.3,0.0,1.8,1.8
Saint Mary School,Non-public,24 Dodgingtown Road,Bethel,06801,Fairfield,,,,,,,,,,
Bethlehem Elementary School,Public,92 East Street,Bethlehem,06751,Litchfield,97.6,97.6,97.6,97.6,97.6,97.6,97.6,0.0,0.0,0.0
Capitol Region Education Council River Street Autism Program at Birken,Public,1289 Blue Hills Ave,Bloomfield,06002,Hartford,,,,,,,,,,
Laurel Literacy Academy,Public,1 Filley Street,Bloomfield,06002,Hartford,100.0,100.0,100.0,100.0,100.0,99.0,99.0,0.0,0.0,0.0
Museum Academy,Public,11 Turkey Hill Rd,Bloomfield,06002,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
The CREC Ana Grace Academy of the Arts Elementary Magnet School,Public,129 Griffin Rd N.,Bloomfield,06002,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Bolton Center school,Public,108 Notch Road,Bolton,06043,Tolland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Fields Memorial School,Public,8 Bozrah St. Ext,Bozrah,06334,New London,,,,,,,,,,
East Shoreline Catholic Academy,Non-public,62 Cedar Street,Branford,06405,New Haven,,,,,,,,,,
John B. Sliney Elementary,Public,23 Eades Street,Branford,06405,New Haven,97.8,97.8,97.8,100.0,97.8,97.8,97.8,0.0,0.0,0.0
Mary R. Tisko School,Public,118 Damascus Rd.,Branford,06405,New Haven,98.5,98.5,98.5,98.5,98.5,98.5,98.5,0.0,1.5,1.5
Mary T Murphy,Public,14 Brushy Plain RD,Branford,06405,New Haven,98.4,98.4,98.4,98.4,98.4,98.4,98.4,0.0,0.0,0.0
Achievement first bridgeport elementary,Public,655 Stillman st,Bridgeport,06608,New Haven,92.0,90.9,92.0,96.6,90.9,94.3,87.5,0.0,0.0,0.0
adam J Lewis Academy,Non-public,500 state street,Bridgeport,06604,Fairfield,91.2,97.1,94.1,94.1,94.1,97.1,88.2,0.0,0.0,0.0
Barnum School,Public,495 Waterview Ave,Bridgeport,06608,Fairfield,98.6,97.3,97.3,100.0,91.9,93.2,87.8,0.0,0.0,0.0
Beardsley,Public,500 Huntington Rd,Bridgeport,06610,Fairfield,97.5,95.0,100.0,97.5,100.0,100.0,95.0,0.0,0.0,0.0
Black Rock,Public,545 Brewster Street,Bridgeport,06605,Fairfield,97.8,97.8,97.8,97.8,97.8,97.8,97.8,0.0,2.2,2.2
Blackham Elementary School,Public,425 Thorme street,Bridgeport,06606,Fairfield,94.2,95.3,98.8,98.8,97.7,95.3,89.5,0.0,0.0,0.0
bridgeport learning center,Public,280 tesiny ave,Bridgeport,06606,Fairfield,,,,,,,,,,
Bryant Elementary,Public,230 Poplar St,Bridgeport,06610,Fairfield,97.7,97.7,97.7,100.0,97.7,97.7,95.3,0.0,0.0,0.0
Capital Preparatory Harbor School,Public,461 Mill Hill Avenue,Bridgeport,06610,Fairfield,92.5,92.5,83.0,86.8,81.1,90.6,92.5,0.0,0.0,0.0
Cesar A Batalla,Public,606 HOward Ave,Bridgeport,06605,Fairfield,95.8,95.8,95.8,95.8,94.8,96.9,91.7,0.0,0.0,0.0
Classical Studies Magnet Academy Annex,Public,659 Beechwood Avenue,Bridgeport,06605,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Columbus School,Public,275 George Street,Bridgeport,06604,Fairfield,95.2,92.1,92.1,95.2,92.1,87.3,82.5,0.0,1.6,1.6
Geraldine Claytor Magnet Academy,Public,140 Ocean Terrace,Bridgeport,06605,Fairfield,81.8,81.8,81.8,81.8,81.8,81.8,81.8,0.0,0.0,0.0
Geraldine Johnson School,Public,475 Lexington Avenue,Bridgeport,06604,Fairfield,97.1,96.1,100.0,99.0,97.1,92.2,90.3,0.0,0.0,0.0
Hall School,Public,290 Clermont ave,Bridgeport,06610,Fairfield,97.2,94.4,97.2,100.0,94.4,97.2,91.7,0.0,0.0,0.0
Hallen,Public,68 Omega Avenue,Bridgeport,06606,Fairfield,97.6,97.6,97.6,100.0,97.6,100.0,97.6,0.0,0.0,0.0
High Horizons Magnet School,Public,700 Palisade Avenue,Bridgeport,06610,Fairfield,100.0,100.0,100.0,97.9,100.0,97.9,95.8,0.0,0.0,0.0
inter-district Discovery Magnet School,Public,1450 Park Ave,Bridgeport,06606,Fairfield,100.0,100.0,84.4,100.0,84.4,100.0,84.4,0.0,0.0,0.0
James J. Curiale,Public,300 Larual Ave.,Bridgeport,06604,Fairfield,98.2,100.0,100.0,100.0,98.2,98.2,96.4,0.0,0.0,0.0
Jettie Tisdale,Public,250 Hollister Ave,Bridgeport,06607,Fairfield,92.0,92.0,74.0,94.0,74.0,92.0,62.0,0.0,0.0,0.0
John Winthrop,Public,85 Eckart Street,Bridgeport,06606,Fairfield,97.8,97.8,100.0,97.8,100.0,95.6,95.6,0.0,0.0,0.0
Madison Elementary School,Public,376 Wayne Street,Bridgeport,06611,Fairfield,84.1,84.1,92.1,100.0,92.1,100.0,84.1,0.0,0.0,0.0
Multicultural Magnet School,Public,700 Palisade Avenue,Bridgeport,06610,Fairfield,97.1,97.1,97.1,97.1,97.1,94.3,94.3,0.0,0.0,0.0
New Beginnings Family Academy,Public,184 Garden St,Bridgeport,06605,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Park City Magnet,Public,1526 Chopsey Hill Rd,Bridgeport,06606,Fairfield,98.2,98.2,98.2,98.2,98.2,96.4,96.4,0.0,1.8,1.8
PL Dunbar,Public,445 Union Avenue,Bridgeport,06607,Fairfield,97.1,100.0,100.0,100.0,94.3,91.4,88.6,0.0,0.0,0.0
Read,Public,130 Ezra Street,Bridgeport,06606,Fairfield,97.0,97.0,99.0,99.0,95.0,97.0,93.1,0.0,0.0,0.0
Roosevelt,Public,680 Park ave,Bridgeport,06604,Fairfield,100.0,100.0,97.6,100.0,97.6,100.0,97.6,0.0,0.0,0.0
Six to six magnet school,Public,601 Pearl Harbor St,Bridgeport,06610,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
St Andrews Catholic School,Non-public,395 Anton Street,Bridgeport,06606,Fairfield,,,,,,,,,,
St Anns Academy,Non-public,521 Brewsrer St,Bridgeport,06605,Fairfield,,,,,,,,,,
St. Raphael Academy,Non-public,324 Frank Street,Bridgeport,06605,Fairfield,92.1,92.1,92.1,92.1,92.1,92.1,92.1,2.6,2.6,5.3
Thomas Hooker,Public,138 Roger Williams,Bridgeport,06610,Fairfield,,,,,,,,,,
Waltersville,Public,150 Hallett Street,Bridgeport,06608,Fairfield,100.0,97.6,100.0,100.0,100.0,97.6,95.1,0.0,0.0,0.0
Wilbur Cross School,Public,1775 Reservoir Ave,Bridgeport,06606,Fairfield,90.9,90.9,93.9,97.0,87.9,84.8,84.8,0.0,0.0,0.0
Edison Elementary,Public,115 Boston Terrace,Bridgeport,06610,Fairfield,97.2,97.2,97.2,97.2,94.4,97.2,94.4,0.0,0.0,0.0
Burnham School,Public,80 Main Street,Bridgewater,06752,Litchfield,,,,,,,,,,
Ellen P Hubbell,Public,90 West Washington Street,Bristol,06010,Hartford,98.2,98.2,100.0,100.0,100.0,98.2,98.2,0.0,0.0,0.0
Greene-Hills School,Public,718 Pine Street,Bristol,06010,Hartford,99.1,99.1,100.0,98.2,100.0,98.2,98.2,0.0,0.0,0.0
Immanuel Luther School,Non-public,154 Meadow St,Bristol,06010,Hartford,,,,,,,,,,
Ivy Drive Elementary School,Public,160 Ivy Drive,Bristol,06010,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Mountain View School,Public,71 Vera Rd.,Bristol,06010,Hartford,95.8,95.8,95.8,95.8,95.8,95.8,95.8,0.0,2.1,2.1
South Side School,Public,21 Tuttle Rd,Bristol,06010,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
St Matthew,Non-public,33 Welch Drive,Bristol,06010,Hartford,,,,,,,,,,
St. Joseph's School,Non-public,335 Center St,Bristol,06010,Hartford,,,,,,,,,,
Stafford Elementary School,Public,212 Louisiana Avenue,Bristol,06010,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
West Bristol School,Public,500 Clark Ave,Bristol,06010,Hartford,97.8,96.7,100.0,98.9,100.0,98.9,95.6,0.0,0.0,0.0
Broad Brook Elementary,Public,14 Rye St,Broad Brook,06016,Hartford,98.9,98.9,97.8,98.9,97.8,96.7,95.6,0.0,1.1,1.1
Candlewood Lake Elementary,Public,100 Candlewood Lake Road,Brookfield,06804,Fairfield,100.0,100.0,98.8,99.4,100.0,98.8,97.0,0.0,0.0,0.0
Christian Life Academy,Non-public,133 Junction Road,Brookfield,06804,Fairfield,,,,,,,,,,
Brooklyn Elementary School,Public,119 Gorman Road,Brooklyn,06234,Windham,97.3,96.0,97.3,97.3,98.7,98.7,96.0,0.0,0.0,0.0
