Home County,LAT,LON,Measure Values
Gaines,32.74078771,-102.6353751,408
Terry,33.17397615,-102.3354521,60
El Paso,31.81058478,-106.1943929,57
Lubbock,33.60987081,-101.8204789,53
Dawson,32.74232695,-101.9477242,26
Yoakum,33.17370764,-102.8279593,20
Lamar,33.67325685,-95.5655813,20
Cochran,33.60667662,-102.8285179,14
Ector,31.86895702,-102.5429428,11
Dallam,36.27781105,-102.602118,7
Hockley,33.6069564,-102.3431676,6
Upshur,32.72542638,-94.94573069,5
Parmer,34.52999068,-102.7844494,5
Midland,31.86907456,-102.0315682,5
Hale,34.07018118,-101.8268114,5
Martin,32.30554989,-101.9513518,3
Andrews,32.30444545,-102.6376348,3
Lynn,33.17665929,-101.8162849,2
Garza,33.17937197,-101.2984114,2
Eastland,32.33597997,-98.8385688,2
Bailey,34.06885979,-102.8298264,2
Rockwall,32.89805479,-96.40769484,1
Reeves,31.26034203,-103.7467936,1
Randall,34.96560845,-101.8971322,1
Potter,35.40164494,-101.893964,1
Lamb,34.06898603,-102.3516289,1
Hardeman,34.263196,-99.76745715,1
Erath,32.24604141,-98.22424497,1
Collin,33.19216719,-96.57267133,1
Carson,35.40268198,-101.3538738,1
Brown,31.7550406,-98.97718319,1
Brewster,29.84486615,-103.2525442,1
Borden,32.7441629,-101.4320028,1
Atascosa,28.9028294,-98.5338941,1
